,artist,artist_uri,song,song_uri,duration_ms,explicit,album,popularity
0,8D Tunes,spotify:artist:5fOzKeaM5PmZ2BcKKAtFeq,Heat Waves (8D Audio),spotify:track:45bhAp4yQ4U3LEXVjvoo7y,124951,False,Heat Waves (8D Audio),54
1,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,Cruel Summer,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,178426,False,Lover,83
2,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,I'm Only Me When I'm With You,spotify:track:0JIdBrXGSJXS72zjF9ss9u,213053,False,Taylor Swift,58
3,Glass Animals,spotify:artist:4yvcSjfu4PC0CYQyLy4wSq,Heat Waves,spotify:track:3USxtqRwSYz57Ewm6wWRMp,238805,False,Dreamland,92
4,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,Love Story (Taylor's Version) - Elvira Remix,spotify:track:5RaBeejGtdPEszYEKYECs2,211857,False,Love Story (Taylor's Version) [Elvira Remix],66
5,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,Love Story (Taylor’s Version),spotify:track:6YvqWjhGD8mB5QXcbcUKtx,235766,False,Fearless (Taylor's Version),77
6,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,Red (Taylor's Version),spotify:track:4OAuvHryIVv4kMDNSLuPt6,223093,False,Red (Taylor's Version),81
7,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,Better Than Revenge,spotify:track:1By2VQkUN0Frd8mKNV5NYC,217160,False,Speak Now (Deluxe Edition),68
8,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,Untouchable (Taylor’s Version),spotify:track:0tQ9vBYpldCuikPsbgOVKA,312107,False,Fearless (Taylor's Version),66
9,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,Wildest Dreams (Taylor's Version),spotify:track:1Ov37jtRQ2YNAe8HzfczkL,220433,False,Wildest Dreams (Taylor's Version),87
